221,222,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,222,223,221,221,221,221,221,221,222,221,222
251,252,251,251,251,251,252,253,254,221,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,221,253,254,251,252,253,251,251,252,251,252
281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,221,221,221,283,284,281,284,281,282
311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312
221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222
251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,221,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252
281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282
311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312
221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222
251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252
281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282
311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312
221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222
251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252
281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282
311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312
221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222,223,224,221,222
251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252,253,254,251,252
281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282,283,284,281,282
311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312,313,314,311,312
